type,id,name,group,frame_index,sprite_name,b,w,h,px,py,sx,sy,webp
body,wm001,여자,03,7,wm00103_7,wm000,16,51,0.4375,-0.1569,171,66,master/assets/animation_frames/body/wm001/03/wm001_03_007.webp
body,wm001,여자,03,8,wm00103_8,wm000,16,51,0.3125,-0.1765,188,66,master/assets/animation_frames/body/wm001/03/wm001_03_008.webp
body,wm001,여자,03,9,wm00103_9,wm000,18,51,0.3889,-0.1765,205,66,master/assets/animation_frames/body/wm001/03/wm001_03_009.webp
body,wm001,여자,b,0,wm001b_0,wm000,16,51,0.4375,-0.1569,224,66,master/assets/animation_frames/body/wm001/b/wm001_b_000.webp
body,wm001,여자,b,1,wm001b_1,wm000,22,51,0.5455,-0.1569,241,66,master/assets/animation_frames/body/wm001/b/wm001_b_001.webp
body,wm001,여자,b,2,wm001b_2,wm000,24,51,0.2917,-0.1569,264,66,master/assets/animation_frames/body/wm001/b/wm001_b_002.webp
body,wm001,여자,b,3,wm001b_3,wm000,16,51,0.3125,-0.1765,289,66,master/assets/animation_frames/body/wm001/b/wm001_b_003.webp
body,wm001,여자,b,4,wm001b_4,wm000,23,51,0.5217,-0.1765,306,66,master/assets/animation_frames/body/wm001/b/wm001_b_004.webp
body,wm001,여자,b,5,wm001b_5,wm000,21,51,0.2381,-0.1765,330,66,master/assets/animation_frames/body/wm001/b/wm001_b_005.webp
body,wm001,여자,b,6,wm001b_6,wm000,15,52,0.4667,-0.1538,628,0,master/assets/animation_frames/body/wm001/b/wm001_b_006.webp
body,wm001,여자,b,7,wm001b_7,wm000,15,51,0.4667,-0.1569,352,66,master/assets/animation_frames/body/wm001/b/wm001_b_007.webp
body,wm001,여자,b,8,wm001b_8,wm000,15,51,0.4667,-0.1569,368,66,master/assets/animation_frames/body/wm001/b/wm001_b_008.webp
body,wm001,여자,b,9,wm001b_9,wm000,18,52,0.3889,-0.1731,644,0,master/assets/animation_frames/body/wm001/b/wm001_b_009.webp
body,wm001,여자,b,10,wm001b_10,wm000,18,51,0.3889,-0.1765,384,66,master/assets/animation_frames/body/wm001/b/wm001_b_010.webp
body,wm001,여자,b,11,wm001b_11,wm000,18,51,0.3889,-0.1765,403,66,master/assets/animation_frames/body/wm001/b/wm001_b_011.webp
body,wm001,여자,b,12,wm001b_12,wm000,15,54,0.4667,-0.1481,203,0,master/assets/animation_frames/body/wm001/b/wm001_b_012.webp
body,wm001,여자,b,13,wm001b_13,wm000,17,52,0.2941,-0.1731,663,0,master/assets/animation_frames/body/wm001/b/wm001_b_013.webp
body,wm001,여자,c,0,wm001c_0,wm000,17,51,0.4118,-0.1569,422,66,master/assets/animation_frames/body/wm001/c/wm001_c_000.webp
body,wm001,여자,c,1,wm001c_1,wm000,16,50,0.125,-0.16,706,66,master/assets/animation_frames/body/wm001/c/wm001_c_001.webp
body,wm001,여자,c,2,wm001c_2,wm000,16,50,0.125,-0.16,723,66,master/assets/animation_frames/body/wm001/c/wm001_c_002.webp
body,wm001,여자,c,3,wm001c_3,wm000,16,45,0.0625,-0.1778,234,118,master/assets/animation_frames/body/wm001/c/wm001_c_003.webp
body,wm001,여자,c,4,wm001c_4,wm000,17,51,0.3529,-0.1765,440,66,master/assets/animation_frames/body/wm001/c/wm001_c_004.webp
body,wm001,여자,c,5,wm001c_5,wm000,21,48,0.1429,-0.0625,941,66,master/assets/animation_frames/body/wm001/c/wm001_c_005.webp
body,wm001,여자,c,6,wm001c_6,wm000,24,48,0.125,-0.0625,963,66,master/assets/animation_frames/body/wm001/c/wm001_c_006.webp
body,wm001,여자,c,7,wm001c_7,wm000,19,48,0.0526,-0.0625,988,66,master/assets/animation_frames/body/wm001/c/wm001_c_007.webp
body,wm001,여자,c,8,wm001c_8,wm000,15,46,0.4667,-0.1739,162,118,master/assets/animation_frames/body/wm001/c/wm001_c_008.webp
body,wm001,여자,c,9,wm001c_9,wm000,18,59,0.6111,-0.1695,68,0,master/assets/animation_frames/body/wm001/c/wm001_c_009.webp
body,wm001,여자,c,10,wm001c_10,wm000,16,48,0.5625,-0.1042,0,118,master/assets/animation_frames/body/wm001/c/wm001_c_010.webp
body,wm001,여자,c,11,wm001c_11,wm000,19,46,0.3158,-0.1957,178,118,master/assets/animation_frames/body/wm001/c/wm001_c_011.webp
body,wm001,여자,c,12,wm001c_12,wm000,19,60,0.5263,-0.2,48,0,master/assets/animation_frames/body/wm001/c/wm001_c_012.webp
body,wm001,여자,c,13,wm001c_13,wm000,17,43,0.2941,-0.1395,329,118,master/assets/animation_frames/body/wm001/c/wm001_c_013.webp
body,wm001,여자,c,14,wm001c_14,wm000,16,48,0.5625,-0.1042,17,118,master/assets/animation_frames/body/wm001/c/wm001_c_014.webp
body,wm001,여자,c,15,wm001c_15,wm000,20,43,0.45,-0.1163,347,118,master/assets/animation_frames/body/wm001/c/wm001_c_015.webp
body,wm001,여자,c,16,wm001c_16,wm000,28,40,0.5,-0.275,548,118,master/assets/animation_frames/body/wm001/c/wm001_c_016.webp
body,wm001,여자,c,17,wm001c_17,wm000,34,33,0.3529,-0.2727,677,118,master/assets/animation_frames/body/wm001/c/wm001_c_017.webp
body,wm001,여자,c,18,wm001c_18,wm000,32,39,0.5,-0.2564,577,118,master/assets/animation_frames/body/wm001/c/wm001_c_018.webp
body,wm001,여자,c,19,wm001c_19,wm000,20,43,0.45,-0.1163,368,118,master/assets/animation_frames/body/wm001/c/wm001_c_019.webp
body,wm001,여자,c,20,wm001c_20,wm000,20,43,0.45,-0.1163,389,118,master/assets/animation_frames/body/wm001/c/wm001_c_020.webp
body,wm001,여자,c,21,wm001c_21,wm000,30,43,0.6667,-0.2558,410,118,master/assets/animation_frames/body/wm001/c/wm001_c_021.webp
body,wm001,여자,c,22,wm001c_22,wm000,32,37,0.375,-0.2432,610,118,master/assets/animation_frames/body/wm001/c/wm001_c_022.webp
body,wm001,여자,c,23,wm001c_23,wm000,34,33,0.3529,-0.2727,712,118,master/assets/animation_frames/body/wm001/c/wm001_c_023.webp
body,wm001,여자,c,24,wm001c_24,wm000,15,46,0.4667,-0.1739,198,118,master/assets/animation_frames/body/wm001/c/wm001_c_024.webp
body,wm001,여자,c,25,wm001c_25,wm000,25,64,0.72,-0.1562,22,0,master/assets/animation_frames/body/wm001/c/wm001_c_025.webp
body,wm001,여자,c,26,wm001c_26,wm000,25,33,0.48,-0.303,747,118,master/assets/animation_frames/body/wm001/c/wm001_c_026.webp
body,wm001,여자,c,27,wm001c_27,wm000,19,46,0.3158,-0.1957,214,118,master/assets/animation_frames/body/wm001/c/wm001_c_027.webp
body,wm001,여자,c,28,wm001c_28,wm000,21,65,0.4762,-0.1846,0,0,master/assets/animation_frames/body/wm001/c/wm001_c_028.webp
body,wm001,여자,c,29,wm001c_29,wm000,33,35,0.4242,-0.2571,643,118,master/assets/animation_frames/body/wm001/c/wm001_c_029.webp
body,wm001,여자,d,0,wm001d_0,wm000,16,52,0.875,-0.0192,681,0,master/assets/animation_frames/body/wm001/d/wm001_d_000.webp
body,wm001,여자,d,1,wm001d_1,wm000,33,47,0.5455,-0.2553,101,118,master/assets/animation_frames/body/wm001/d/wm001_d_001.webp
body,wm001,여자,d,2,wm001d_2,wm000,30,49,0.6,-0.2449,867,66,master/assets/animation_frames/body/wm001/d/wm001_d_002.webp
body,wm001,여자,d,3,wm001d_3,wm000,16,54,0.9375,-0.1667,219,0,master/assets/animation_frames/body/wm001/d/wm001_d_003.webp
body,wm001,여자,d,4,wm001d_4,wm000,29,50,0.5172,-0.18,740,66,master/assets/animation_frames/body/wm001/d/wm001_d_004.webp
body,wm001,여자,d,5,wm001d_5,wm000,31,52,0.4839,-0.1731,698,0,master/assets/animation_frames/body/wm001/d/wm001_d_005.webp
body,wm001,여자,d,6,wm001d_6,wm000,27,50,0.1111,-0.16,770,66,master/assets/animation_frames/body/wm001/d/wm001_d_006.webp
body,wm001,여자,d,7,wm001d_7,wm000,21,50,0.0952,-0.16,798,66,master/assets/animation_frames/body/wm001/d/wm001_d_007.webp
body,wm001,여자,d,8,wm001d_8,wm000,26,48,0.1154,-0.0625,34,118,master/assets/animation_frames/body/wm001/d/wm001_d_008.webp
body,wm001,여자,d,9,wm001d_9,wm000,25,48,0.12,-0.0625,61,118,master/assets/animation_frames/body/wm001/d/wm001_d_009.webp
body,wm001,여자,d,10,wm001d_10,wm000,16,52,0.1875,-0.1538,730,0,master/assets/animation_frames/body/wm001/d/wm001_d_010.webp
body,wm001,여자,d,11,wm001d_11,wm000,26,47,0.2308,-0.3617,135,118,master/assets/animation_frames/body/wm001/d/wm001_d_011.webp
body,wm001,여자,d,12,wm001d_12,wm000,38,43,0.2895,-0.3953,441,118,master/assets/animation_frames/body/wm001/d/wm001_d_012.webp
body,wm001,여자,d,13,wm001d_13,wm000,16,52,0.1875,-0.1538,747,0,master/assets/animation_frames/body/wm001/d/wm001_d_013.webp
body,wm001,여자,d,14,wm001d_14,wm000,21,54,0.0952,-0.0741,236,0,master/assets/animation_frames/body/wm001/d/wm001_d_014.webp
body,wm001,여자,d,15,wm001d_15,wm000,26,51,0.3846,-0.0784,458,66,master/assets/animation_frames/body/wm001/d/wm001_d_015.webp
body,wm001,여자,d,16,wm001d_16,wm000,36,51,0.25,-0.1176,485,66,master/assets/animation_frames/body/wm001/d/wm001_d_016.webp
body,wm001,여자,d,17,wm001d_17,wm000,16,54,0.0,-0.0741,258,0,master/assets/animation_frames/body/wm001/d/wm001_d_017.webp
body,wm001,여자,e,0,wm001e_0,wm000,13,51,0.3077,-0.1569,522,66,master/assets/animation_frames/body/wm001/e/wm001_e_000.webp
body,wm001,여자,e,1,wm001e_1,wm000,28,44,0.1786,-0.1818,251,118,master/assets/animation_frames/body/wm001/e/wm001_e_001.webp
body,wm001,여자,e,2,wm001e_2,wm000,13,48,0.4615,-0.25,87,118,master/assets/animation_frames/body/wm001/e/wm001_e_002.webp
body,wm001,여자,e,3,wm001e_3,wm000,23,43,0.0,-0.0233,480,118,master/assets/animation_frames/body/wm001/e/wm001_e_003.webp
body,wm001,여자,e,4,wm001e_4,wm000,28,44,0.1786,-0.1818,280,118,master/assets/animation_frames/body/wm001/e/wm001_e_004.webp
body,wm001,여자,e,5,wm001e_5,wm000,19,44,0.0526,-0.1818,309,118,master/assets/animation_frames/body/wm001/e/wm001_e_005.webp
body,wm001,여자,e,6,wm001e_6,wm000,23,43,0.0,-0.0233,504,118,master/assets/animation_frames/body/wm001/e/wm001_e_006.webp
body,wm001,여자,e,7,wm001e_7,wm000,19,43,-0.1053,-0.0233,528,118,master/assets/animation_frames/body/wm001/e/wm001_e_007.webp
body,wm001,여자,e,8,wm001e_8,wm000,16,52,0.6875,-0.1731,764,0,master/assets/animation_frames/body/wm001/e/wm001_e_008.webp
body,wm001,여자,e,9,wm001e_9,wm000,16,52,0.6875,-0.1731,781,0,master/assets/animation_frames/body/wm001/e/wm001_e_009.webp
body,wm001,여자,e,10,wm001e_10,wm000,16,52,0.6875,-0.1731,798,0,master/assets/animation_frames/body/wm001/e/wm001_e_010.webp
body,wm001,여자,e,11,wm001e_11,wm000,16,52,0.6875,-0.1731,815,0,master/assets/animation_frames/body/wm001/e/wm001_e_011.webp
body,wm001,여자,e,12,wm001e_12,wm000,19,54,0.3684,-0.1296,275,0,master/assets/animation_frames/body/wm001/e/wm001_e_012.webp
body,wm001,여자,e,13,wm001e_13,wm000,19,54,0.3684,-0.1296,295,0,master/assets/animation_frames/body/wm001/e/wm001_e_013.webp
body,wm001,여자,e,14,wm001e_14,wm000,19,54,0.3684,-0.1296,315,0,master/assets/animation_frames/body/wm001/e/wm001_e_014.webp
body,wm001,여자,e,15,wm001e_15,wm000,19,54,0.3684,-0.1296,335,0,master/assets/animation_frames/body/wm001/e/wm001_e_015.webp
body,wm001,여자,e,16,wm001e_16,wm000,16,52,0.6875,-0.1731,832,0,master/assets/animation_frames/body/wm001/e/wm001_e_016.webp
body,wm001,여자,e,17,wm001e_17,wm000,16,52,0.6875,-0.1731,849,0,master/assets/animation_frames/body/wm001/e/wm001_e_017.webp
body,wm001,여자,e,18,wm001e_18,wm000,16,52,0.6875,-0.1731,866,0,master/assets/animation_frames/body/wm001/e/wm001_e_018.webp
body,wm001,여자,e,19,wm001e_19,wm000,16,52,0.6875,-0.1731,883,0,master/assets/animation_frames/body/wm001/e/wm001_e_019.webp
body,wm001,여자,e,20,wm001e_20,wm000,16,52,0.6875,-0.1731,900,0,master/assets/animation_frames/body/wm001/e/wm001_e_020.webp
body,wm001,여자,e,21,wm001e_21,wm000,16,52,0.6875,-0.1731,917,0,master/assets/animation_frames/body/wm001/e/wm001_e_021.webp
body,wm001,여자,e,22,wm001e_22,wm000,16,54,0.4375,-0.1296,355,0,master/assets/animation_frames/body/wm001/e/wm001_e_022.webp
body,wm001,여자,e,23,wm001e_23,wm000,19,54,0.3684,-0.1296,372,0,master/assets/animation_frames/body/wm001/e/wm001_e_023.webp
body,wm001,여자,e,24,wm001e_24,wm000,19,54,0.3684,-0.1296,392,0,master/assets/animation_frames/body/wm001/e/wm001_e_024.webp
body,wm001,여자,e,25,wm001e_25,wm000,19,54,0.3684,-0.1296,412,0,master/assets/animation_frames/body/wm001/e/wm001_e_025.webp
body,wm001,여자,e,26,wm001e_26,wm000,19,54,0.3684,-0.1296,432,0,master/assets/animation_frames/body/wm001/e/wm001_e_026.webp
body,wm001,여자,e,27,wm001e_27,wm000,19,54,0.3684,-0.1296,452,0,master/assets/animation_frames/body/wm001/e/wm001_e_027.webp
body,wm001,여자,e,28,wm001e_28,wm000,16,52,0.6875,-0.1731,934,0,master/assets/animation_frames/body/wm001/e/wm001_e_028.webp
body,wm001,여자,e,29,wm001e_29,wm000,16,52,0.6875,-0.1731,951,0,master/assets/animation_frames/body/wm001/e/wm001_e_029.webp
body,wm001,여자,e,30,wm001e_30,wm000,16,52,0.6875,-0.1731,968,0,master/assets/animation_frames/body/wm001/e/wm001_e_030.webp
body,wm001,여자,e,31,wm001e_31,wm000,16,52,0.6875,-0.1731,985,0,master/assets/animation_frames/body/wm001/e/wm001_e_031.webp
body,wm001,여자,e,32,wm001e_32,wm000,17,54,0.4118,-0.1296,472,0,master/assets/animation_frames/body/wm001/e/wm001_e_032.webp
body,wm001,여자,e,33,wm001e_33,wm000,17,54,0.4118,-0.1296,490,0,master/assets/animation_frames/body/wm001/e/wm001_e_033.webp
body,wm001,여자,e,34,wm001e_34,wm000,17,54,0.4118,-0.1296,508,0,master/assets/animation_frames/body/wm001/e/wm001_e_034.webp
body,wm001,여자,e,35,wm001e_35,wm000,17,54,0.4118,-0.1296,526,0,master/assets/animation_frames/body/wm001/e/wm001_e_035.webp
body,wm001,여자,f,0,wm001f_0,wm000,21,51,0.4762,-0.1569,536,66,master/assets/animation_frames/body/wm001/f/wm001_f_000.webp
body,wm001,여자,f,1,wm001f_1,wm000,24,54,0.5417,-0.1481,544,0,master/assets/animation_frames/body/wm001/f/wm001_f_001.webp
body,wm001,여자,f,2,wm001f_2,wm000,25,51,0.52,-0.1765,558,66,master/assets/animation_frames/body/wm001/f/wm001_f_002.webp
body,wm001,여자,f,3,wm001f_3,wm000,24,55,0.5417,-0.1636,87,0,master/assets/animation_frames/body/wm001/f/wm001_f_003.webp
body,wm001,여자,f,4,wm001f_4,wm000,15,51,0.4667,-0.1569,584,66,master/assets/animation_frames/body/wm001/f/wm001_f_004.webp
body,wm001,여자,f,5,wm001f_5,wm000,15,51,0.4667,-0.1569,600,66,master/assets/animation_frames/body/wm001/f/wm001_f_005.webp
body,wm001,여자,f,6,wm001f_6,wm000,15,55,0.4667,-0.1455,112,0,master/assets/animation_frames/body/wm001/f/wm001_f_006.webp
body,wm001,여자,f,7,wm001f_7,wm000,15,55,0.4667,-0.1455,128,0,master/assets/animation_frames/body/wm001/f/wm001_f_007.webp
body,wm001,여자,f,8,wm001f_8,wm000,16,51,0.3125,-0.1765,616,66,master/assets/animation_frames/body/wm001/f/wm001_f_008.webp
body,wm001,여자,f,9,wm001f_9,wm000,16,51,0.3125,-0.1765,633,66,master/assets/animation_frames/body/wm001/f/wm001_f_009.webp
body,wm001,여자,f,10,wm001f_10,wm000,17,55,0.3529,-0.1636,144,0,master/assets/animation_frames/body/wm001/f/wm001_f_010.webp
body,wm001,여자,f,11,wm001f_11,wm000,17,55,0.3529,-0.1636,162,0,master/assets/animation_frames/body/wm001/f/wm001_f_011.webp
cape,wc112,,01,0,wc11201_0,wc000,14,18,0.7857,-1.6111,16,0,master/assets/animation_frames/cape/wc112/01/wc112_01_000.webp
cape,wc112,,01,1,wc11201_1,wc000,13,12,0.3846,-2.9167,70,20,master/assets/animation_frames/cape/wc112/01/wc112_01_001.webp
cape,wc112,,01,2,wc11201_2,wc000,16,18,0.75,-1.6111,31,0,master/assets/animation_frames/cape/wc112/01/wc112_01_002.webp
cape,wc112,,01,3,wc11201_3,wc000,16,18,0.75,-1.6111,48,0,master/assets/animation_frames/cape/wc112/01/wc112_01_003.webp
cape,wc112,,01,4,wc11201_4,wc000,16,18,0.75,-1.6111,65,0,master/assets/animation_frames/cape/wc112/01/wc112_01_004.webp
cape,wc112,,01,5,wc11201_5,wc000,17,18,0.6471,-1.6111,82,0,master/assets/animation_frames/cape/wc112/01/wc112_01_005.webp
cape,wc112,,01,6,wc11201_6,wc000,13,12,0.3846,-2.9167,84,20,master/assets/animation_frames/cape/wc112/01/wc112_01_006.webp
cape,wc112,,01,7,wc11201_7,wc000,12,11,0.3333,-3.2727,489,20,master/assets/animation_frames/cape/wc112/01/wc112_01_007.webp
cape,wc112,,01,8,wc11201_8,wc000,13,12,0.3846,-2.8333,98,20,master/assets/animation_frames/cape/wc112/01/wc112_01_008.webp
cape,wc112,,01,9,wc11201_9,wc000,12,10,0.3333,-3.7,547,20,master/assets/animation_frames/cape/wc112/01/wc112_01_009.webp
cape,wc112,,02,0,wc11202_0,wc000,17,18,0.7059,-1.7222,100,0,master/assets/animation_frames/cape/wc112/02/wc112_02_000.webp
cape,wc112,,02,1,wc11202_1,wc000,16,18,0.3125,-1.6111,118,0,master/assets/animation_frames/cape/wc112/02/wc112_02_001.webp
cape,wc112,,02,2,wc11202_2,wc000,7,12,0.4286,-2.9167,112,20,master/assets/animation_frames/cape/wc112/02/wc112_02_002.webp
cape,wc112,,02,3,wc11202_3,wc000,8,10,-0.5,-3.2,560,20,master/assets/animation_frames/cape/wc112/02/wc112_02_003.webp
cape,wc112,,03,0,wc11203_0,wc000,17,18,0.6471,-1.7778,135,0,master/assets/animation_frames/cape/wc112/03/wc112_03_000.webp
cape,wc112,,03,1,wc11203_1,wc000,11,12,0.3636,-3.0833,120,20,master/assets/animation_frames/cape/wc112/03/wc112_03_001.webp
cape,wc112,,03,2,wc11203_2,wc000,16,18,0.6875,-1.6667,153,0,master/assets/animation_frames/cape/wc112/03/wc112_03_002.webp
cape,wc112,,03,3,wc11203_3,wc000,16,18,0.6875,-1.6667,170,0,master/assets/animation_frames/cape/wc112/03/wc112_03_003.webp
cape,wc112,,03,4,wc11203_4,wc000,13,12,0.3846,-2.9167,132,20,master/assets/animation_frames/cape/wc112/03/wc112_03_004.webp
cape,wc112,,03,5,wc11203_5,wc000,13,12,0.3846,-3.0,146,20,master/assets/animation_frames/cape/wc112/03/wc112_03_005.webp
cape,wc112,,03,6,wc11203_6,wc000,16,18,0.6875,-1.6667,187,0,master/assets/animation_frames/cape/wc112/03/wc112_03_006.webp
cape,wc112,,03,7,wc11203_7,wc000,16,18,0.6875,-1.6667,204,0,master/assets/animation_frames/cape/wc112/03/wc112_03_007.webp
cape,wc112,,03,8,wc11203_8,wc000,11,13,0.3636,-2.6923,46,20,master/assets/animation_frames/cape/wc112/03/wc112_03_008.webp
cape,wc112,,03,9,wc11203_9,wc000,11,12,0.3636,-2.9167,160,20,master/assets/animation_frames/cape/wc112/03/wc112_03_009.webp
cape,wc112,,b,0,wc112b_0,wc000,16,18,0.625,-1.6111,221,0,master/assets/animation_frames/cape/wc112/b/wc112_b_000.webp
cape,wc112,,b,1,wc112b_1,wc000,15,18,0.7333,-1.6667,238,0,master/assets/animation_frames/cape/wc112/b/wc112_b_001.webp
cape,wc112,,b,2,wc112b_2,wc000,16,18,0.6875,-1.6667,254,0,master/assets/animation_frames/cape/wc112/b/wc112_b_002.webp
cape,wc112,,b,3,wc112b_3,wc000,5,12,0.8,-3.0,172,20,master/assets/animation_frames/cape/wc112/b/wc112_b_003.webp
cape,wc112,,b,4,wc112b_4,wc000,12,12,0.3333,-3.0,178,20,master/assets/animation_frames/cape/wc112/b/wc112_b_004.webp
cape,wc112,,b,5,wc112b_5,wc000,5,12,0.8,-3.0,191,20,master/assets/animation_frames/cape/wc112/b/wc112_b_005.webp
cape,wc112,,b,6,wc112b_6,wc000,14,18,0.7143,-1.6667,271,0,master/assets/animation_frames/cape/wc112/b/wc112_b_006.webp
cape,wc112,,b,7,wc112b_7,wc000,14,18,0.7143,-1.6111,286,0,master/assets/animation_frames/cape/wc112/b/wc112_b_007.webp
cape,wc112,,b,8,wc112b_8,wc000,14,18,0.7143,-1.6111,301,0,master/assets/animation_frames/cape/wc112/b/wc112_b_008.webp
cape,wc112,,b,9,wc112b_9,wc000,11,12,0.2727,-3.0,197,20,master/assets/animation_frames/cape/wc112/b/wc112_b_009.webp
cape,wc112,,b,10,wc112b_10,wc000,11,12,0.2727,-2.9167,209,20,master/assets/animation_frames/cape/wc112/b/wc112_b_010.webp
cape,wc112,,b,11,wc112b_11,wc000,9,12,0.3333,-2.9167,221,20,master/assets/animation_frames/cape/wc112/b/wc112_b_011.webp
cape,wc112,,b,12,wc112b_12,wc000,15,18,0.7333,-1.7222,316,0,master/assets/animation_frames/cape/wc112/b/wc112_b_012.webp
cape,wc112,,b,13,wc112b_13,wc000,11,13,0.3636,-2.7692,58,20,master/assets/animation_frames/cape/wc112/b/wc112_b_013.webp
cape,wc112,,c,0,wc112c_0,wc000,17,18,0.5882,-1.6667,332,0,master/assets/animation_frames/cape/wc112/c/wc112_c_000.webp
cape,wc112,,c,1,wc112c_1,wc000,16,18,0.25,-1.6667,350,0,master/assets/animation_frames/cape/wc112/c/wc112_c_001.webp
cape,wc112,,c,2,wc112c_2,wc000,16,18,0.25,-1.6667,367,0,master/assets/animation_frames/cape/wc112/c/wc112_c_002.webp
cape,wc112,,c,3,wc112c_3,wc000,7,6,-0.2857,-6.0,734,20,master/assets/animation_frames/cape/wc112/c/wc112_c_003.webp
cape,wc112,,c,4,wc112c_4,wc000,11,10,0.3636,-3.6,569,20,master/assets/animation_frames/cape/wc112/c/wc112_c_004.webp
cape,wc112,,c,5,wc112c_5,wc000,9,9,-0.3333,-3.6667,689,20,master/assets/animation_frames/cape/wc112/c/wc112_c_005.webp
cape,wc112,,c,6,wc112c_6,wc000,8,9,-0.375,-3.6667,699,20,master/assets/animation_frames/cape/wc112/c/wc112_c_006.webp
cape,wc112,,c,7,wc112c_7,wc000,5,11,-1.0,-2.8182,502,20,master/assets/animation_frames/cape/wc112/c/wc112_c_007.webp
cape,wc112,,c,8,wc112c_8,wc000,16,18,0.8125,-1.3889,384,0,master/assets/animation_frames/cape/wc112/c/wc112_c_008.webp
cape,wc112,,c,9,wc112c_9,wc000,18,18,0.7222,-2.2778,401,0,master/assets/animation_frames/cape/wc112/c/wc112_c_009.webp
cape,wc112,,c,10,wc112c_10,wc000,16,18,0.75,-1.3889,420,0,master/assets/animation_frames/cape/wc112/c/wc112_c_010.webp
cape,wc112,,c,11,wc112c_11,wc000,10,10,0.2,-3.2,581,20,master/assets/animation_frames/cape/wc112/c/wc112_c_011.webp
cape,wc112,,c,12,wc112c_12,wc000,12,12,0.4167,-4.0,231,20,master/assets/animation_frames/cape/wc112/c/wc112_c_012.webp
cape,wc112,,c,13,wc112c_13,wc000,9,9,0.3333,-3.3333,708,20,master/assets/animation_frames/cape/wc112/c/wc112_c_013.webp
cape,wc112,,c,14,wc112c_14,wc000,16,18,0.75,-1.3889,437,0,master/assets/animation_frames/cape/wc112/c/wc112_c_014.webp
cape,wc112,,c,15,wc112c_15,wc000,16,18,0.4375,-1.1111,454,0,master/assets/animation_frames/cape/wc112/c/wc112_c_015.webp
cape,wc112,,c,16,wc112c_16,wc000,10,10,0.2,-3.3,592,20,master/assets/animation_frames/cape/wc112/c/wc112_c_016.webp
cape,wc112,,c,17,wc112c_17,wc000,10,10,-0.3,-2.6,603,20,master/assets/animation_frames/cape/wc112/c/wc112_c_017.webp
cape,wc112,,c,18,wc112c_18,wc000,16,18,1.1875,-1.2222,471,0,master/assets/animation_frames/cape/wc112/c/wc112_c_018.webp
cape,wc112,,c,19,wc112c_19,wc000,16,18,0.4375,-1.1667,488,0,master/assets/animation_frames/cape/wc112/c/wc112_c_019.webp
cape,wc112,,c,20,wc112c_20,wc000,16,18,0.4375,-1.0556,505,0,master/assets/animation_frames/cape/wc112/c/wc112_c_020.webp
cape,wc112,,c,21,wc112c_21,wc000,12,11,1.0833,-3.0,508,20,master/assets/animation_frames/cape/wc112/c/wc112_c_021.webp
cape,wc112,,c,22,wc112c_22,wc000,10,10,-0.4,-2.8,614,20,master/assets/animation_frames/cape/wc112/c/wc112_c_022.webp
cape,wc112,,c,23,wc112c_23,wc000,10,10,-0.3,-2.6,625,20,master/assets/animation_frames/cape/wc112/c/wc112_c_023.webp
cape,wc112,,c,24,wc112c_24,wc000,13,18,0.9231,-1.3889,522,0,master/assets/animation_frames/cape/wc112/c/wc112_c_024.webp
cape,wc112,,c,25,wc112c_25,wc000,18,18,0.7222,-2.5556,536,0,master/assets/animation_frames/cape/wc112/c/wc112_c_025.webp
cape,wc112,,c,26,wc112c_26,wc000,15,19,0.4,-0.8947,0,0,master/assets/animation_frames/cape/wc112/c/wc112_c_026.webp
cape,wc112,,c,27,wc112c_27,wc000,10,10,0.2,-3.2,636,20,master/assets/animation_frames/cape/wc112/c/wc112_c_027.webp
cape,wc112,,c,28,wc112c_28,wc000,12,12,0.4167,-4.4167,244,20,master/assets/animation_frames/cape/wc112/c/wc112_c_028.webp
cape,wc112,,c,29,wc112c_29,wc000,5,8,0.0,-3.375,728,20,master/assets/animation_frames/cape/wc112/c/wc112_c_029.webp
cape,wc112,,d,0,wc112d_0,wc000,17,18,0.9412,-1.3333,555,0,master/assets/animation_frames/cape/wc112/d/wc112_d_000.webp
cape,wc112,,d,1,wc112d_1,wc000,15,16,1.0,-1.875,823,0,master/assets/animation_frames/cape/wc112/d/wc112_d_001.webp
cape,wc112,,d,2,wc112d_2,wc000,15,16,1.0,-2.0,839,0,master/assets/animation_frames/cape/wc112/d/wc112_d_002.webp
cape,wc112,,d,3,wc112d_3,wc000,5,12,2.4,-3.1667,257,20,master/assets/animation_frames/cape/wc112/d/wc112_d_003.webp
cape,wc112,,d,4,wc112d_4,wc000,15,12,0.4667,-2.8333,263,20,master/assets/animation_frames/cape/wc112/d/wc112_d_004.webp
cape,wc112,,d,5,wc112d_5,wc000,15,12,0.4667,-3.0,279,20,master/assets/animation_frames/cape/wc112/d/wc112_d_005.webp
cape,wc112,,d,6,wc112d_6,wc000,17,18,0.2353,-1.6111,573,0,master/assets/animation_frames/cape/wc112/d/wc112_d_006.webp
cape,wc112,,d,7,wc112d_7,wc000,14,18,0.2143,-1.6667,591,0,master/assets/animation_frames/cape/wc112/d/wc112_d_007.webp
cape,wc112,,d,8,wc112d_8,wc000,12,10,-0.25,-3.2,647,20,master/assets/animation_frames/cape/wc112/d/wc112_d_008.webp
cape,wc112,,d,9,wc112d_9,wc000,9,9,-0.4444,-3.5556,718,20,master/assets/animation_frames/cape/wc112/d/wc112_d_009.webp
cape,wc112,,d,10,wc112d_10,wc000,14,18,0.5,-1.7222,606,0,master/assets/animation_frames/cape/wc112/d/wc112_d_010.webp
